subject	article	doi	in_article
Molecular	PLoS_One_2011_Apr_22_6(4)_e18289	10.1371/journal.pone.0018289	3	
Molecular	PLoS_One_2009_Sep_23_4(9)_e7057	10.1371/journal.pone.0007057	3	
Molecular	PLoS_One_2011_Apr_14_6(4)_e18532	10.1371/journal.pone.0018532	2	
Molecular	PLoS_One_2011_Aug_25_6(8)_e23846	10.1371/journal.pone.0023846	3	
Molecular	PLoS_ONE-3-2-2220038	10.1371/journal.pone.0001592	2	
Molecular	PLoS_ONE-3-11-2573954	10.1371/journal.pone.0003632	3	
Molecular	PLoS_ONE-1-1-1762353	17183725	2	
Molecular	PLoS_ONE_2008_Oct_31_3(10)_e3609	18974834	3	
Molecular	PLoS_One-5-8-2922327	10.1371/journal.pone.0012029	2	
Molecular	PLoS_One-5-5-2862702	10.1371/journal.pone.0010426	3	
Molecular	PLoS_One_2009_Aug_12_4(8)_e6609	10.1371/journal.pone.0006609	1	
Molecular	PLoS_One-5-8-2925886	10.1371/journal.pone.0012339	3	
Molecular	PLoS_ONE_2008_Dec_19_3(12)_e3987	10.1371/journal.pone.0003987	11	
Molecular	PLoS_ONE-4-4-2664926	10.1371/journal.pone.0005204	3	
Molecular	PLoS_One_2011_May_31_6(5)_e20012	10.1371/journal.pone.0020012	6	
Molecular	PLoS_ONE_2008_Dec_12_3(12)_e3927	10.1371/journal.pone.0003927	1	
Molecular	PLoS_One-4-8-2718616	10.1371/journal.pone.0006566	2	
Molecular	PLoS_One-5-6-2888582	10.1371/journal.pone.0011240	5	
Molecular	PLoS_ONE-4-6-2691988	10.1371/journal.pone.0005923	7	
Molecular	PLoS_One_2011_Jun_13_6(6)_e19783	10.1371/journal.pone.0019783	11	
Molecular	PLoS_One-4-8-2716528	10.1371/journal.pone.0006493	1	
Molecular	PLoS_One_2010_Jul_26_5(7)_e11768	10.1371/journal.pone.0011768	1	
Molecular	PLoS_One_2011_Aug_17_6(8)_e23825	10.1371/journal.pone.0023825	1	
Molecular	PLoS_ONE-3-9-2533399	10.1371/journal.pone.0003268	1	
Molecular	PLoS_One-5-5-2873959	10.1371/journal.pone.0010724	3	
Molecular	PLoS_One_2009_Aug_14_4(8)_e6653	10.1371/journal.pone.0006653	2	
Molecular	PLoS_One_2010_Aug_26_5(8)_e12415	10.1371/journal.pone.0012415	3	
Molecular	PLoS_One_2011_Aug_23_6(8)_e23344	10.1371/journal.pone.0023344	3	
Molecular	PLoS_One-5-7-2895662	10.1371/journal.pone.0011397	3	
Molecular	PLoS_One-4-7-2704864	10.1371/journal.pone.0006225	20	
Molecular	PLoS_One_2011_Feb_2_6(2)_e16711	10.1371/journal.pone.0016711	3	
Molecular	PLoS_One_2009_Jul_14_4(7)_e6229	10.1371/journal.pone.0006229	3	
Molecular	PLoS_One-5-4-2854138	10.1371/journal.pone.0010163	2	
Molecular	PLoS_One_2011_Feb_22_6(2)_e17122	10.1371/journal.pone.0017122	1	
Molecular	PLoS_One-4-12-2780293	10.1371/journal.pone.0008153	2	
Molecular	PLoS_One_2009_Oct_23_4(10)_e7560	10.1371/journal.pone.0007560	4	
Molecular	PLoS_One-4-8-2727795	10.1371/journal.pone.0006754	22	
Molecular	PLoS_ONE-3-4-2292259	10.1371/journal.pone.0001982	5	
Molecular	PLoS_One_2011_Jun_24_6(6)_e21496	10.1371/journal.pone.0021496	2	
Molecular	PLoS_One_2010_Oct_22_5(10)_e13578	10.1371/journal.pone.0013578	3	
Molecular	PLoS_One-5-12-3003701	10.1371/journal.pone.0015353	0	
Molecular	PLoS_One-4-12-2780719	10.1371/journal.pone.0008128	2	
Molecular	PLoS_ONE_2007_Nov_28_2(11)_e1246	10.1371/journal.pone.0001246	2	
Molecular	PLoS_ONE-3-8-2493032	10.1371/journal.pone.0002956	4	
Molecular	PLoS_ONE-2-5-1868777	10.1371/journal.pone.0000478	8	
Molecular	PLoS_ONE_2009_Mar_25_4(3)_e4935	10.1371/journal.pone.0004935	10	
Molecular	PLoS_ONE-2-2-1790702	10.1371/journal.pone.0000201	2	
Molecular	PLoS_One_2011_Jun_29_6(6)_e21454	10.1371/journal.pone.0021454	6	
Molecular	PLoS_ONE_2009_Feb_27_4(2)_e4647	10.1371/journal.pone.0004647	5	
Molecular	PLoS_ONE_2008_Nov_11_3(11)_e3695	10.1371/journal.pone.0003695	1	
Molecular	PLoS_One-5-11-2980487	10.1371/journal.pone.0013974	2	
Molecular	PLoS_One-4-6-2699554	10.1371/journal.pone.0006087	4	
Molecular	PLoS_One_2011_Apr_29_6(4)_e19163	10.1371/journal.pone.0019163	3	
Molecular	PLoS_One_2011_Aug_31_6(8)_e24021	10.1371/journal.pone.0024021	1	
Molecular	PLoS_One_2011_Apr_7_6(4)_e18447	10.1371/journal.pone.0018447	3	
Molecular	PLoS_One_2010_Jan_11_5(1)_e8441	10.1371/journal.pone.0008441	1	
Molecular	PLoS_One-4-10-2759513	10.1371/journal.pone.0007513	4	
Molecular	PLoS_One_2011_Jan_28_6(1)_e14608	10.1371/journal.pone.0014608	10	
Molecular	PLoS_One_2011_Jun_16_6(6)_e21119	10.1371/journal.pone.0021119	2	
Molecular	PLoS_One_2011_Apr_18_6(4)_e18409	10.1371/journal.pone.0018409	3	
Molecular	PLoS_One_2010_May_5_5(5)_e10446	10.1371/journal.pone.0010446	2	
Molecular	PLoS_One_2009_Sep_11_4(9)_e7027	10.1371/journal.pone.0007027	8	
Molecular	PLoS_One_2011_Feb_10_6(2)_e16586	10.1371/journal.pone.0016586	1	
Molecular	PLoS_One_2011_Jun_9_6(6)_e20780	10.1371/journal.pone.0020780	4	
Molecular	PLoS_One_2010_Feb_5_5(2)_e9084	10.1371/journal.pone.0009084	2	
Molecular	PLoS_ONE-3-9-2518620	10.1371/journal.pone.0003108	2	
Molecular	PLoS_One_2011_May_24_6(5)_e20276	10.1371/journal.pone.0020276	4	
Molecular	PLoS_ONE-4-6-2694274	10.1371/journal.pone.0005948	2	
Molecular	PLoS_One_2010_Apr_26_5(4)_e10337	10.1371/journal.pone.0010337	2	
Molecular	PLoS_One_2010_Jan_13_5(1)_e8564	10.1371/journal.pone.0008564	1	
Molecular	PLoS_One_2011_Aug_4_6(8)_e22607	10.1371/journal.pone.0022607	2	
Molecular	PLoS_One_2009_Oct_6_4(10)_e7311	10.1371/journal.pone.0007311	6	
Molecular	PLoS_One_2011_Mar_29_6(3)_e18335	10.1371/journal.pone.0018335	4	
Molecular	PLoS_One_2010_Jun_23_5(6)_e11276	10.1371/journal.pone.0011276	2	
Molecular	PLoS_One-4-9-2737620	10.1371/journal.pone.0007010	4	
Molecular	PLoS_One_2009_Nov_4_4(11)_e7728	10.1371/journal.pone.0007728	1	
Molecular	PLoS_One-4-10-2754655	10.1371/journal.pone.0007398	1	
Molecular	PLoS_ONE-3-10-2559867	18843375	2	
Molecular	PLoS_One_2011_Jun_3_6(6)_e20710	10.1371/journal.pone.0020710	10	
Molecular	PLoS_One_2011_Feb_8_6(2)_e16961	10.1371/journal.pone.0016961	3	
Molecular	PLoS_One_2010_Mar_22_5(3)_e9722	10.1371/journal.pone.0009722	3	
Molecular	PLoS_ONE_2009_May_27_4(5)_e5710	10.1371/journal.pone.0005710	3	
Molecular	PLoS_ONE-3-6-2398779	10.1371/journal.pone.0002413	3	
Molecular	PLoS_One-5-4-2856681	10.1371/journal.pone.0010227	5	
Molecular	PLoS_One_2011_Jun_22_6(6)_e21465	10.1371/journal.pone.0021465	4	
Molecular	PLoS_One_2010_Nov_10_5(11)_e13924	10.1371/journal.pone.0013924	5	
Molecular	PLoS_ONE-4-5-2672169	19415111	2	
Molecular	PLoS_ONE-4-4-2668802	10.1371/journal.pone.0005306	3	
Molecular	PLoS_One_2011_Aug_24_6(8)_e24013	10.1371/journal.pone.0024013	1	
Molecular	PLoS_One-4-9-2736646	10.1371/journal.pone.0006945	6	
Molecular	PLoS_One-4-9-2731166	10.1371/journal.pone.0006849	1	
Molecular	PLoS_One_2010_Nov_9_5(11)_e13720	10.1371/journal.pone.0013720	4	
Molecular	PLoS_One_2010_Sep_9_5(9)_e12655	10.1371/journal.pone.0012655	3	
Molecular	PLoS_One_2010_Jul_16_5(7)_e11609	10.1371/journal.pone.0011609	1	
Molecular	PLoS_ONE-3-6-2423477	10.1371/journal.pone.0002476	4	
Molecular	PLoS_ONE_2006_Dec_20_1(1)_e93	17183725	2	
Molecular	PLoS_One_2011_Feb_15_6(2)_e17143	10.1371/journal.pone.0017143	3	
Molecular	PLoS_One-5-10-2948512	10.1371/journal.pone.0013128	2	
Molecular	PLoS_One_2011_Jan_19_6(1)_e15810	10.1371/journal.pone.0015810	2	
Molecular	PLoS_One_2011_Mar_8_6(3)_e17598	10.1371/journal.pone.0017598	6	
Molecular	PLoS_One_2011_Feb_17_6(2)_e17178	10.1371/journal.pone.0017178	4	
Molecular	PLoS_ONE_2007_Jan_3_2(1)_e139	17206274	1	
Molecular	PLoS_One_2011_Aug_1_6(8)_e23132	10.1371/journal.pone.0023132	6	
Molecular	PLoS_One_2011_Feb_11_6(2)_e16958	10.1371/journal.pone.0016958	3	
Molecular	PLoS_One_2010_Apr_14_5(4)_e10171	10.1371/journal.pone.0010171	2	
Molecular	PLoS_ONE_2006_Dec_20_1(1)_e29	17183656	4	
Molecular	PLoS_One-5-10-2958116	10.1371/journal.pone.0013329	3	
Molecular	PLoS_ONE-4-6-2696940	10.1371/journal.pone.0006029	1	
Molecular	PLoS_ONE-2-8-1942083	10.1371/journal.pone.0000767	4	
Molecular	PLoS_ONE_2009_Jan_6_4(1)_e4136	10.1371/journal.pone.0004136	3	
Molecular	PLoS_One_2011_Aug_18_6(8)_e23657	10.1371/journal.pone.0023657	1	
Molecular	PLoS_One_2011_May_20_6(5)_e19803	10.1371/journal.pone.0019803	6	
Molecular	PLoS_One_2010_Aug_10_5(8)_e12093	10.1371/journal.pone.0012093	2	
Molecular	PLoS_One_2010_Dec_13_5(12)_e14304	10.1371/journal.pone.0014304	3	
Molecular	PLoS_ONE_2007_Nov_7_2(11)_e1129	10.1371/journal.pone.0001129	3	
Molecular	PLoS_ONE_2008_Feb_20_3(2)_e1631	10.1371/journal.pone.0001631	3	
Molecular	PLoS_One_2010_Apr_2_5(4)_e10002	10.1371/journal.pone.0010002	2	
Molecular	PLoS_One-5-3-2848011	10.1371/journal.pone.0009912	3	
Molecular	PLoS_One_2010_Apr_1_5(4)_e9949	10.1371/journal.pone.0009949	12	
Molecular	PLoS_ONE-4-4-2671401	10.1371/journal.pone.0005374	14	
Molecular	PLoS_One-4-9-2742902	10.1371/journal.pone.0007125	4	
Molecular	PLoS_ONE-3-1-2200829	10.1371/journal.pone.0001507	5	
Molecular	PLoS_One_2009_Sep_4_4(9)_e6911	10.1371/journal.pone.0006911	3	
Molecular	PLoS_ONE_2007_Sep_26_2(9)_e921	10.1371/journal.pone.0000921	4	
Molecular	PLoS_One_2010_Dec_22_5(12)_e14403	10.1371/journal.pone.0014403	8	
Molecular	PLoS_ONE-3-7-2441437	10.1371/journal.pone.0002639	2	
Molecular	PLoS_ONE-3-7-2441434	10.1371/journal.pone.0002671	1	
Molecular	PLoS_One_2009_Aug_26_4(8)_e6764	10.1371/journal.pone.0006764	3	
Molecular	PLoS_One-4-11-2778134	10.1371/journal.pone.0008082	9	
Molecular	PLoS_One_2010_Jun_29_5(6)_e11379	10.1371/journal.pone.0011379	10	
Molecular	PLoS_ONE_2009_Apr_4_4(4)_e5041	10.1371/journal.pone.0005041	5	
Molecular	PLoS_One_2011_May_19_6(5)_e19922	10.1371/journal.pone.0019922	5	
Molecular	PLoS_One_2010_Jul_23_5(7)_e11639	10.1371/journal.pone.0011639	4	
Molecular	PLoS_ONE_2009_Jun_15_4(6)_e5917	10.1371/journal.pone.0005917	9	
Molecular	PLoS_One_2011_Feb_25_6(2)_e17353	10.1371/journal.pone.0017353	4	
Molecular	PLoS_ONE_2008_Feb_20_3(2)_e1622	10.1371/journal.pone.0001622	40	
Molecular	PLoS_One_2011_Jul_5_6(7)_e21415	10.1371/journal.pone.0021415	1	
Molecular	PLoS_One_2010_Jun_2_5(6)_e10866	10.1371/journal.pone.0010866	8	
Molecular	PLoS_One_2011_Aug_4_6(8)_e23346	10.1371/journal.pone.0023346	3	
Molecular	PLoS_ONE-4-2-2637973	10.1371/journal.pone.0004467	2	
Molecular	PLoS_One_2011_Apr_26_6(4)_e19038	10.1371/journal.pone.0019038	1	
Molecular	PLoS_ONE-3-3-2258151	10.1371/journal.pone.0001768	15	
Molecular	PLoS_One-5-6-2882955	10.1371/journal.pone.0011039	3	
Molecular	PLoS_One_2011_Jun_27_6(6)_e21680	10.1371/journal.pone.0021680	2	
Molecular	PLoS_One_2011_Mar_30_6(3)_e18159	10.1371/journal.pone.0018159	2	
Molecular	PLoS_One-5-5-2873980	10.1371/journal.pone.0010747	1	
Molecular	PLoS_One_2009_Sep_30_4(9)_e7226	10.1371/journal.pone.0007226	1	
Molecular	PLoS_ONE_2008_Aug_6_3(8)_e2849	10.1371/journal.pone.0002849	3	
Molecular	PLoS_One_2009_Dec_14_4(12)_e8286	10.1371/journal.pone.0008286	23	
Molecular	PLoS_ONE_2007_Oct_31_2(10)_e1085	10.1371/journal.pone.0001085	4	
Molecular	PLoS_One-5-4-2858668	10.1371/journal.pone.0010312	1	
Molecular	PLoS_One_2011_Jun_30_6(6)_e21414	10.1371/journal.pone.0021414	1	
Molecular	PLoS_One_2011_Aug_12_6(8)_e23207	10.1371/journal.pone.0023207	2	
Molecular	PLoS_One_2011_Apr_14_6(4)_e18810	10.1371/journal.pone.0018810	1	
Molecular	PLoS_ONE_2008_Aug_13_3(8)_e2929	10.1371/journal.pone.0002929	3	
Molecular	PLoS_ONE_2008_Dec_10_3(12)_e3904	10.1371/journal.pone.0003904	2	
Molecular	PLoS_One_2011_Apr_29_6(4)_e19412	10.1371/journal.pone.0019412	2	
Molecular	PLoS_One_2011_Jun_16_6(6)_e20614	10.1371/journal.pone.0020614	4	
Molecular	PLoS_ONE_2006_Dec_20_1(1)_e54	17183684	1	
Molecular	PLoS_One_2011_Aug_8_6(8)_e22934	10.1371/journal.pone.0022934	1	
Molecular	PLoS_One_2011_Mar_29_6(3)_e17290	10.1371/journal.pone.0017290	1	
Molecular	PLoS_One_2011_Jan_18_6(1)_e14530	10.1371/journal.pone.0014530	12	
Molecular	PLoS_One_2011_Jun_21_6(6)_e21154	10.1371/journal.pone.0021154	1	
Molecular	PLoS_One_2011_Jul_8_6(7)_e21468	10.1371/journal.pone.0021468	7	
Molecular	PLoS_One_2011_May_16_6(5)_e19523	10.1371/journal.pone.0019523	4	
Molecular	PLoS_One_2010_Sep_29_5(9)_e13111	10.1371/journal.pone.0013111	3	
Molecular	PLoS_One-4-9-2735006	10.1371/journal.pone.0006935	2	
Molecular	PLoS_One_2010_Dec_10_5(12)_e14276	10.1371/journal.pone.0014276	37	
Molecular	PLoS_ONE_2009_Feb_24_4(2)_e4575	10.1371/journal.pone.0004575	2	
Molecular	PLoS_One-5-11-2987798	10.1371/journal.pone.0014044	3	
Molecular	PLoS_One_2011_Apr_8_6(4)_e18633	10.1371/journal.pone.0018633	3	
Molecular	PLoS_One_2010_Aug_18_5(8)_e12271	10.1371/journal.pone.0012271	2	
Molecular	PLoS_One_2011_Aug_11_6(8)_e23381	10.1371/journal.pone.0023381	4	
