subject	species	count
Biochemistry	H. vulgaris	2.000000
Biochemistry	H. neapolitanus	2.000000
Biochemistry	H. glycines	2.000000
Biochemistry	Grey mannocks	2.000000
Biochemistry	Gorilla	2.000000
Biochemistry	Gluconacetobacter xylinus	2.000000
Biochemistry	Giardia lamblia	2.000000
Biochemistry	Geobacter sulfurreducens	2.000000
Biochemistry	Galleria mellonella	2.000000
Biochemistry	Gaboon Adders	2.000000
Biochemistry	G. zeae	2.000000
Biochemistry	G. princeps	2.000000
Biochemistry	G. nivalis	2.000000
Biochemistry	Fugu rubripes	2.000000
Biochemistry	Five spot	2.000000
Biochemistry	F. oxysporum	2.000000
Biochemistry	F. nucleatum	2.000000
Biochemistry	Desulfovibrio vulgaris	2.000000
Biochemistry	Desulfovibrio desulfuricans	2.000000
Biochemistry	Desulfobacterium autotrophicum	2.000000
Biochemistry	Debaryomyces hansenii	2.000000
Biochemistry	D. shibae	2.000000
Biochemistry	D. sechellia	2.000000
Biochemistry	D. radiodurans	2.000000
Biochemistry	Cryptosporidium muris	2.000000
Biochemistry	Clostridium thermocellum	2.000000
Biochemistry	Clostridium septicum	2.000000
Biochemistry	Clostridium baratii	2.000000
Biochemistry	Citrus sinensis	2.000000
Biochemistry	Chlamydia muridarum	2.000000
Biochemistry	Cheetahs	2.000000
Biochemistry	Carcinoscorpius rotundicauda	2.000000
Biochemistry	Caldivirga maquilingensis	2.000000
Biochemistry	Caenorhabditis briggsae	2.000000
Biochemistry	C. viridis	2.000000
Biochemistry	C. pyrrhogaster	2.000000
Biochemistry	C. longa	2.000000
Biochemistry	C. ensiformis	2.000000
Biochemistry	C. cinerea	2.000000
Biochemistry	C. butyricum	2.000000
Biochemistry	Bitis gabonica rhinoceros	2.000000
Biochemistry	Beard	2.000000
Biochemistry	Banded Krait	2.000000
Biochemistry	B. recurrentis	2.000000
Biochemistry	B. pumilus	2.000000
Biochemistry	B. pasteurii	2.000000
Biochemistry	B. microplus	2.000000
Biochemistry	B. melitensis	2.000000
Biochemistry	B. hermsii	2.000000
Biochemistry	B. henselae	2.000000
Biochemistry	B. halodurans	2.000000
Biochemistry	B. firmus	2.000000
Biochemistry	B. cenocepacia	2.000000
Biochemistry	B. avium	2.000000
Biochemistry	B. atrophaeus	2.000000
Biochemistry	Azorhizobium caulinodans	2.000000
Biochemistry	Aspergillus terreus	2.000000
Biochemistry	Arthrobacter aurescens	2.000000
Biochemistry	Artemia salina	2.000000
Biochemistry	Album	2.000000
Biochemistry	A. ureafaciens	2.000000
Biochemistry	A. sativum	2.000000
Biochemistry	A. flavus	2.000000
Biochemistry	A. baylyi	2.000000
Biochemistry	A. albopictus	2.000000
Biochemistry	A. actinomycetemcomitans	2.000000
Biochemistry	woodroach	1.000000
Biochemistry	white-tailed deers	1.000000
Biochemistry	white shrimp	1.000000
Biochemistry	white kingfishs	1.000000
Biochemistry	western rock blackfish	1.000000
Biochemistry	vendaces	1.000000
Biochemistry	tunnys	1.000000
Biochemistry	sweet potato whitefly	1.000000
Biochemistry	striped catfish	1.000000
Biochemistry	southern platyfish	1.000000
Biochemistry	southern pigfishs	1.000000
Biochemistry	sleepers	1.000000
Biochemistry	skipjack-tuna	1.000000
Biochemistry	sedate cichlid	1.000000
Biochemistry	searchers	1.000000
Biochemistry	sea belt	1.000000
Biochemistry	san Francisco brine shrimps	1.000000
Biochemistry	rinkhals, Ring-necked Spitting Cobra, Ringhals	1.000000
Biochemistry	red swamp crayfishs	1.000000
Biochemistry	red abalone	1.000000
Biochemistry	ram	1.000000
Biochemistry	raccoon dogs	1.000000
Biochemistry	purple sea urchin	1.000000
Biochemistry	pumpkinseed sunfishs	1.000000
Biochemistry	post locusts	1.000000
Biochemistry	owl limpet	1.000000
Biochemistry	northern brown bullheads	1.000000
Biochemistry	mule deer	1.000000
Biochemistry	mooses	1.000000
Biochemistry	monito del Monte	1.000000
Biochemistry	maple leaf scorchs	1.000000
Biochemistry	levantine Viper	1.000000
Biochemistry	japanese Quails	1.000000
Biochemistry	himalayan marmots	1.000000
Biochemistry	hamadryad, King Cobras	1.000000
Biochemistry	hake	1.000000
Biochemistry	green Mambas	1.000000
Biochemistry	great lake trouts	1.000000
Biochemistry	giant Panda	1.000000
Biochemistry	freshwater blackfish	1.000000
Biochemistry	fat-tailed Dunnarts	1.000000
Biochemistry	fantail mullet	1.000000
Biochemistry	dugongs	1.000000
Biochemistry	dovetails	1.000000
Biochemistry	deathcaps	1.000000
Biochemistry	cowfish	1.000000
Biochemistry	cotton-top tamarin	1.000000
Biochemistry	common Bamboo Viper	1.000000
Biochemistry	chinese Green Tree Viper, Stejneger�s Bamboo pitviper; chenbihuii	1.000000
Biochemistry	chilean shrew opossum	1.000000
Biochemistry	charcoal moras	1.000000
Biochemistry	carrelet	1.000000
Biochemistry	caracals	1.000000
Biochemistry	brown stingrays	1.000000
Biochemistry	broad wood cockroachs	1.000000
Biochemistry	britt	1.000000
Biochemistry	branchys	1.000000
Biochemistry	blackwood	1.000000
Biochemistry	blacktails	1.000000
Biochemistry	batas	1.000000
Biochemistry	abyssal grenadier	1.000000
Biochemistry	Zymomonas mobilis	1.000000
Biochemistry	Z. nevadensis	1.000000
Biochemistry	Xanthomonas phaseoli	1.000000
Biochemistry	Xanthomonas citri	1.000000
Biochemistry	Wild Turkey	1.000000
Biochemistry	White-eared Opossum	1.000000
Biochemistry	White cloud mountain minnows	1.000000
Biochemistry	Vitis amurensis	1.000000
Biochemistry	Vipera berus	1.000000
Biochemistry	Vipera aspis zinnikeri	1.000000
Biochemistry	Vipera aspis	1.000000
Biochemistry	Vipera ammodytes montandoni	1.000000
Biochemistry	Vicia sativa	1.000000
Biochemistry	Vicia narbonensis	1.000000
Biochemistry	Vespula germanica	1.000000
Biochemistry	Verticillium dahliae	1.000000
Biochemistry	Vanda coerulea	1.000000
Biochemistry	V. vulnificus	1.000000
Biochemistry	V. ursinii	1.000000
Biochemistry	V. latastei latastei	1.000000
Biochemistry	V. berus berus	1.000000
Biochemistry	V. aspis francisciredi	1.000000
Biochemistry	V. aspis aspis	1.000000
Biochemistry	V. ammodytes meridionalis	1.000000
Biochemistry	V. ammodytes	1.000000
Biochemistry	V. album	1.000000
Biochemistry	Uncinula necator	1.000000
Biochemistry	Ulex europaeus	1.000000
Biochemistry	U. urealyticum	1.000000
Biochemistry	U. ornatrix	1.000000
Biochemistry	U. granatina	1.000000
Biochemistry	Tyrophagus putrescentiae	1.000000
Biochemistry	Tyria jacobaeae	1.000000
Biochemistry	Tropical dog tick	1.000000
Biochemistry	Trimeresurus jerdonii	1.000000
Biochemistry	Trimeresurus flavoviridis	1.000000
Biochemistry	Trimeresurus elegans	1.000000
Biochemistry	Trichodesmium erythraeum	1.000000
Biochemistry	Trichoderma longibrachiatum	1.000000
Biochemistry	Trichoderma atroviride	1.000000
Biochemistry	Treponema denticola	1.000000
Biochemistry	Treponema azotonutricium	1.000000
Biochemistry	Trebouxia anticipata	1.000000
Biochemistry	Tolumonas auensis	1.000000
Biochemistry	Todarodes pacificus	1.000000
Biochemistry	Thiomicrospira crunogena	1.000000
Biochemistry	Thermodesulfovibrio yellowstonii	1.000000
Biochemistry	Thermodesulfobacterium commune	1.000000
Biochemistry	Thermococcus litoralis	1.000000
Biochemistry	Thermococcus celer	1.000000
